ticker,yf,cap_type,mkt_cap_bn,score_large,score_mid,score_unified,roe,margin,pe_fwd,debt_eq,revg,epsg,ret_total_pct,ret_annual_pct,vol_pct,max_dd_pct,sharpe,bucket
ACA,ACA.PA,large,57.9,41,42,41,8.6,25.3,7.7,0.0,-6.3,-14.8,110.4,13.2,31.3,-55.9,0.36,40-55
LACROIX,LACR.PA,small,0.1,28,44,41,7.6,-8.9,5.1,13.4,-0.1,0.0,-40.9,-8.4,36.0,-81.5,-0.29,40-55
IMERYS,NK.PA,mid,2.0,35,46,41,-15.0,-12.8,12.8,8.76,2.2,1.2,-6.9,-1.2,34.2,-56.4,-0.09,40-55
VIV,VIV.PA,mid,1.7,38,44,41,0.4,6.5,14.4,3.68,0.0,0.0,-62.2,-15.0,43.8,-85.4,-0.39,40-55
COFA,COFA.PA,mid,2.4,31,49,41,9.7,11.2,10.1,19.32,3.5,-12.2,189.7,19.4,34.6,-63.6,0.5,40-55
SW,SW.PA,large,8.3,38,46,40,11.9,1.9,16.6,14.98,-3.7,-56.5,66.6,8.9,31.5,-51.1,0.22,<40
SAMSE,SAMS.PA,small,0.4,28,43,40,4.4,1.3,7.6,9.83,-5.3,39.4,60.9,8.3,23.0,-38.6,0.27,<40
ELIS,ELIS.PA,large,5.3,33,61,40,10.7,7.7,11.2,13.87,4.9,7.5,41.9,6.0,39.4,-67.8,0.1,<40
AXA,CS.PA,large,92.2,34,57,40,14.9,10.4,9.9,11.94,4.5,13.2,155.6,16.9,26.1,-51.0,0.57,<40
NEXANS,NEX.PA,large,6.1,31,55,37,9.8,1.0,15.4,11.58,19.1,-72.3,365.2,29.2,37.7,-50.3,0.72,<40
ALO,ALO.PA,large,7.5,30,57,37,3.4,1.7,8.4,3.3,4.1,-29.5,-22.9,-4.2,39.6,-77.5,-0.16,<40
SGO,SGO.PA,large,39.5,33,50,37,11.0,5.8,11.7,6.63,-1.1,-12.0,247.4,23.1,31.6,-53.7,0.67,<40
ATO,ATO.PA,small,0.6,28,39,37,0.0,-16.4,4.4,0.0,-15.2,0.0,-99.4,-56.9,3455.0,-99.8,-0.02,<40
FNAC,FNAC.PA,mid,1.0,28,42,36,-5.0,-1.6,10.7,19.01,0.8,0.0,-44.0,-9.2,36.7,-75.3,-0.31,<40
EN,EN.PA,large,17.9,31,48,35,9.7,2.2,11.8,10.3,-1.0,12.6,28.8,4.3,27.5,-43.8,0.08,<40
RNO,RNO.PA,large,8.0,28,52,34,5.0,1.6,4.1,32.77,9.4,0.0,-1.5,-0.3,44.6,-75.7,-0.05,<40
KER,KER.PA,large,30.8,36,30,34,-1.6,-1.5,25.1,11.66,-2.9,-60.1,-32.4,-6.3,32.5,-71.3,-0.26,<40
AC,AC.PA,large,10.8,33,35,34,8.0,5.8,17.7,10.67,0.5,-58.8,39.9,5.8,35.3,-51.0,0.11,<40
SEB,SK.PA,mid,3.2,28,39,34,4.9,1.5,7.4,10.55,-0.1,0.0,-4.7,-0.8,29.8,-61.2,-0.09,<40
ELIOR,ELIOR.PA,small,0.5,18,36,32,7.7,1.1,6.7,14.78,-1.1,-52.9,-77.0,-21.7,59.2,-88.1,-0.4,<40
STEF,STF.PA,mid,1.6,18,39,30,6.5,1.6,9.5,12.57,0.0,0.0,103.8,12.6,27.4,-38.6,0.39,<40
WLN,WLN.PA,small,0.7,18,31,28,-21.2,-25.2,3.8,6.68,-3.7,0.0,-79.8,-23.4,49.6,-93.0,-0.51,<40
NXI,NXI.PA,small,0.4,36,25,27,-10.0,-6.8,30.6,11.64,-18.3,0.0,-51.8,-11.5,37.2,-77.2,-0.36,<40
FORVIA,FRVIA.PA,mid,1.6,18,31,25,-25.7,-8.7,3.7,25.49,-4.3,0.0,-66.5,-16.7,52.3,-82.9,-0.36,<40
SOITEC,SOI.PA,mid,3.9,18,22,20,-15.2,-37.1,39.0,4.67,-34.6,0.0,59.8,8.1,43.0,-73.7,0.14,<40
